height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
7315,1067,288,42,3,60,14,14465,82.1,3850.63,selectivo,marco,frame-288in-42in-60in-g14
7315,1067,288,42,3,72,14,13192,92.22,4325.20,selectivo,marco,frame-288in-42in-72in-g14
7315,1067,288,42,3,84,14,11821,88.39,4145.69,selectivo,marco,frame-288in-42in-84in-g14
7315,1067,288,42,3,96,14,10419,86.34,4049.57,selectivo,marco,frame-288in-42in-96in-g14
7315,1067,288,42,3,108,14,9005,84.01,3940.03,selectivo,marco,frame-288in-42in-108in-g14
7925,1067,312,42,3,36,14,15502,99.94,4687.41,selectivo,marco,frame-312in-42in-36in-g14
7925,1067,312,42,3,42,14,15562,95.14,4461.92,selectivo,marco,frame-312in-42in-42in-g14
7925,1067,312,42,3,48,14,15553,93.5,4384.97,selectivo,marco,frame-312in-42in-48in-g14
7925,1067,312,42,3,54,14,15015,91.01,4268.59,selectivo,marco,frame-312in-42in-54in-g14
7925,1067,312,42,3,60,14,14447,88.95,4171.73,selectivo,marco,frame-312in-42in-60in-g14
7925,1067,312,42,3,72,14,13176,99.91,4685.88,selectivo,marco,frame-312in-42in-72in-g14
7925,1067,312,42,3,84,14,11807,95.77,4491.40,selectivo,marco,frame-312in-42in-84in-g14
7925,1067,312,42,3,96,14,10407,93.55,4387.27,selectivo,marco,frame-312in-42in-96in-g14
7925,1067,312,42,3,108,14,8992,91.01,4268.59,selectivo,marco,frame-312in-42in-108in-g14
8534,1067,336,42,3,36,14,15474,108.41,5084.34,selectivo,marco,frame-336in-42in-36in-g14
8534,1067,336,42,3,42,14,15539,105.64,4954.41,selectivo,marco,frame-336in-42in-42in-g14
8534,1067,336,42,3,48,14,15532,102.62,4812.92,selectivo,marco,frame-336in-42in-48in-g14
8534,1067,336,42,3,54,14,14995,99.32,4657.96,selectivo,marco,frame-336in-42in-54in-g14
8534,1067,336,42,3,60,14,14429,95.65,4486.04,selectivo,marco,frame-336in-42in-60in-g14
8534,1067,336,42,3,72,14,13160,108.41,5084.34,selectivo,marco,frame-336in-42in-72in-g14
8534,1067,336,42,3,84,14,11793,105.64,4954.41,selectivo,marco,frame-336in-42in-84in-g14
8534,1067,336,42,3,96,14,10394,102.63,4813.47,selectivo,marco,frame-336in-42in-96in-g14
8534,1067,336,42,3,108,14,8978,99.32,4657.96,selectivo,marco,frame-336in-42in-108in-g14
9144,1067,360,42,3,36,14,15446,117.13,5493.39,selectivo,marco,frame-360in-42in-36in-g14
9144,1067,360,42,3,42,14,15517,110.22,5169.52,selectivo,marco,frame-360in-42in-42in-g14
9144,1067,360,42,3,48,14,15510,107.21,5028.03,selectivo,marco,frame-360in-42in-48in-g14
9144,1067,360,42,3,54,14,14975,103.9,4873.07,selectivo,marco,frame-360in-42in-54in-g14
9144,1067,360,42,3,60,14,14411,105.13,4930.59,selectivo,marco,frame-360in-42in-60in-g14
9144,1067,360,42,3,72,14,13144,117.13,5493.39,selectivo,marco,frame-360in-42in-72in-g14
